timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:09:02.553732,bruce-banner,pc,quickplay,all,9.78,51.45
2025-02-03T19:09:02.553732,bruce-banner,pc,competitive,all,6.74,51.79
2025-02-03T19:09:02.553732,bruce-banner,pc,competitive,bronze,6.51,50.06
2025-02-03T19:09:02.553732,bruce-banner,pc,competitive,diamond,8.73,54.41
2025-02-03T19:09:02.553732,bruce-banner,pc,competitive,gold,6.64,52.51
2025-02-03T19:09:02.553732,bruce-banner,pc,competitive,grandmaster and above,10.22,54.17
2025-02-03T19:09:02.553732,bruce-banner,pc,competitive,platinum,7.53,53.32
2025-02-03T19:09:02.553732,bruce-banner,pc,competitive,silver,6.18,51.47
2025-02-03T19:09:02.553732,bruce-banner,console,quickplay,all,9.78,51.45
2025-02-03T19:09:02.553732,bruce-banner,console,competitive,all,8.54,52.11
2025-02-03T19:09:02.553732,bruce-banner,console,competitive,bronze,8.79,50.87
2025-02-03T19:09:02.553732,bruce-banner,console,competitive,diamond,9.71,54.26
2025-02-03T19:09:02.553732,bruce-banner,console,competitive,gold,8.18,52.39
2025-02-03T19:09:02.553732,bruce-banner,console,competitive,grandmaster and above,10.71,54.82
2025-02-03T19:09:02.553732,bruce-banner,console,competitive,platinum,8.72,53.48
2025-02-03T19:09:02.553732,bruce-banner,console,competitive,silver,8.05,51.70
2025-02-03T19:23:42.472965,bruce-banner,pc,quickplay,all,9.78,51.45
2025-02-03T19:23:42.472965,bruce-banner,pc,competitive,all,6.74,51.79
2025-02-03T19:23:42.472965,bruce-banner,pc,competitive,bronze,6.51,50.06
2025-02-03T19:23:42.472965,bruce-banner,pc,competitive,diamond,8.73,54.41
2025-02-03T19:23:42.472965,bruce-banner,pc,competitive,gold,6.64,52.51
2025-02-03T19:23:42.472965,bruce-banner,pc,competitive,grandmaster and above,10.22,54.17
2025-02-03T19:23:42.472965,bruce-banner,pc,competitive,platinum,7.53,53.32
2025-02-03T19:23:42.472965,bruce-banner,pc,competitive,silver,6.18,51.47
2025-02-03T19:23:42.472965,bruce-banner,console,quickplay,all,9.78,51.45
2025-02-03T19:23:42.472965,bruce-banner,console,competitive,all,8.54,52.11
2025-02-03T19:23:42.472965,bruce-banner,console,competitive,bronze,8.79,50.87
2025-02-03T19:23:42.472965,bruce-banner,console,competitive,diamond,9.71,54.26
2025-02-03T19:23:42.472965,bruce-banner,console,competitive,gold,8.18,52.39
2025-02-03T19:23:42.472965,bruce-banner,console,competitive,grandmaster and above,10.71,54.82
2025-02-03T19:23:42.472965,bruce-banner,console,competitive,platinum,8.72,53.48
2025-02-03T19:23:42.472965,bruce-banner,console,competitive,silver,8.05,51.70
